pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,sy_dist,sy_disterr1,sy_disterr2,rowupdate
70 Vir b,1,1,Radial Velocity,1996,116.68840000,0.00440000,-0.00440000,0,0.480000,0.010000,-0.010000,0,,,,,,,,,2421.86460,108.06220,-108.06220,0,7.62000,0.34000,-0.34000,0,,,,,0.400000,0.000000,0.000000,0,,,,,,,,,316.300,1.700,-1.700,0,,,,,,,,,17.9011000,0.0560000,-0.0557000,2018-12-03
70 Vir b,1,1,Radial Velocity,1996,116.68840000,0.00440000,-0.00440000,0,0.484000,0.028000,-0.028000,0,,,,,,,,,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,,,,,0.400700,0.003500,-0.003500,0,,,,,,,,,316.300,1.700,-1.700,0,,,,,,,,,17.9011000,0.0560000,-0.0557000,2018-12-03
70 Vir b,1,1,Radial Velocity,1996,116.69260000,0.00140000,-0.00140000,0,0.481000,0.003000,-0.003000,0,,,,,,,,,2351.94200,6.35660,-6.35660,0,7.40000,0.02000,-0.02000,0,,,,,0.399000,0.002000,-0.002000,0,,,,,,,,,315.700,0.700,-0.700,0,,,,,,,,,17.9011000,0.0560000,-0.0557000,2018-12-03
70 Vir b,1,1,Radial Velocity,1996,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,,,,,,,,,2357.02728,18.11631,-18.11631,0,7.41600,0.05700,-0.05700,0,,,,,0.398800,0.001900,-0.001900,0,,,,,,,,,316.200,0.780,-0.780,0,,,,,,,,,17.9011000,0.0560000,-0.0557000,2018-12-03
8 UMi b,1,1,Radial Velocity,2015,93.40000000,4.50000000,-4.50000000,0,0.490000,0.030000,-0.030000,0,,,,,,,,,476.74500,63.56600,-63.56600,0,1.50000,0.20000,-0.20000,0,,,,,0.060000,0.180000,-0.180000,0,,,,,,,,,46.100,4.000,-4.000,0,,,,,,,,,162.5520000,0.6510000,-0.6460000,2018-04-25
8 UMi b,1,1,Radial Velocity,2015,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,,,,,,,,,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,,,,,0.060000,0.090000,-0.090000,0,,,,,,,,,46.100,4.000,-4.000,0,,,,,,,,,162.5520000,0.6510000,-0.6460000,2018-09-04
81 Cet b,1,1,Radial Velocity,2008,,,,,2.170000,0.170000,-0.090000,0,,,,,,,,,1274.40000,190.70000,-95.30000,0,4.01000,0.60000,-0.30000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2600000,1.2220000,-1.2220000,2014-07-23
81 Cet b,1,1,Radial Velocity,2008,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,,,,,,,,,1684.40000,,,0,5.30000,,,0,,,,,0.206000,0.029000,-0.029000,0,,,,,,,,,62.800,1.500,-1.500,0,,,,,,,,,101.2600000,1.2220000,-1.2220000,2014-05-14
AB Pic b,1,1,Imaging,2005,,,,,260.000000,,,0,,,,,,,,,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0475000,0.0735000,-0.0733000,2014-05-14
AU Mic b,1,1,Transit,2020,8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,4.203,0.202,-0.202,0,0.375,0.018,-0.018,0,57.20940,,,1,0.18000,,,1,4.40000,,,1,0.100000,0.170000,-0.090000,0,,,,,0.05140,0.00130,-0.00130,0,28.000,,,1,,,,,,,,,9.7221000,0.0046250,-0.0046250,2020-06-12
BD+03 2562 b,1,1,Radial Velocity,2017,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,,,,,,,,,2034.11200,413.17900,-413.17900,0,6.40000,1.30000,-1.30000,0,,,,,0.200000,0.120000,-0.080000,0,,,,,,,,,155.700,1.000,-3.300,0,,,,,,,,,1070.6300000,63.8750000,-63.8750000,2017-06-13
BD+14 4559 b,1,1,Radial Velocity,2009,268.94000000,0.99000000,-0.99000000,0,0.777000,,,0,,,,,,,,,467.19000,,,0,1.47000,,,0,,,,,0.290000,0.030000,-0.030000,0,,,,,,,,,55.210,2.290,-2.290,0,,,,,,,,,49.3520000,0.0846000,-0.0844000,2018-04-25
BD+14 4559 b,1,1,Radial Velocity,2009,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,,,,,,,,,330.54320,149.38010,-149.38010,0,1.04000,0.47000,-0.47000,0,,,,,0.290000,0.030000,-0.030000,0,,,,,,,,,55.200,2.300,-2.300,0,,,,,,,,,49.3520000,0.0846000,-0.0844000,2018-09-04
BD+15 2375 b,1,1,Radial Velocity,2016,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,,,,,,,,,337.21763,85.81410,-85.81410,0,1.06100,0.27000,-0.27000,0,,,,,0.001000,0.250000,-0.001000,0,,,,,,,,,38.300,2.300,-1.000,0,,,,,,,,,768.0450000,45.0380000,-45.0380000,2016-02-03
BD+15 2940 b,1,1,Radial Velocity,2013,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,,,,,,,,,352.78000,,,0,1.11000,,,0,,,,,0.260000,0.100000,-0.100000,0,,,,,,,,,42.700,4.400,-4.400,0,,,,,,,,,426.4200000,6.4400000,-6.4400000,2014-05-14
BD+20 274 b,1,1,Radial Velocity,2012,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,,,,,,,,,1334.88600,,,0,4.20000,,,0,,,,,0.210000,0.060000,-0.060000,0,,,,,,,,,121.400,6.400,-6.400,0,,,,,,,,,1322.5100000,80.5350000,-80.5350000,2015-09-16
BD+20 594 b,1,1,Transit,2016,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,,,,,0.000000,,,0,89.550,0.160,-0.160,0,,,,,3.100,1.100,-1.100,0,,,,,,,,,179.4610000,1.2570000,-1.2400000,2018-04-25
BD+20 594 b,1,1,Transit,2016,41.68550000,0.00300000,-0.00310000,0,0.241000,0.019000,-0.017000,0,2.230,0.140,-0.110,0,0.199,0.012,-0.010,0,16.30000,6.00000,-6.10000,0,0.05129,0.01888,-0.01919,0,7.89000,3.40000,-3.10000,0,0.000000,,,0,89.550,0.170,-0.140,0,0.02204,0.00058,-0.00057,0,3.100,1.100,-1.100,0,,,,,,,,,179.4610000,1.2570000,-1.2400000,2018-04-25
BD+20 594 b,1,1,Transit,2016,41.68864400,0.00335300,-0.00341900,0,,,,,2.355,0.310,-0.167,0,0.210,0.030,-0.010,0,,,,,,,,,,,,,,,,,89.526,0.329,-0.535,0,0.02259,0.00185,-0.00094,0,,,,,,,,,,,,,179.4610000,1.2570000,-1.2400000,2018-02-15
BD+20 594 b,1,1,Transit,2016,41.68864400,0.00335300,-0.00341900,0,,,,,2.355,0.310,-0.167,0,0.210,0.028,-0.015,0,,,,,,,,,,,,,,,,,89.526,0.329,-0.535,0,0.02259,0.00185,-0.00094,0,,,,,,,,,,,,,179.4610000,1.2570000,-1.2400000,2018-04-25
