pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,sy_dist
HAT-P-52 b,1,1,Transit,2015,259.98494,0.81800,0.980000,0.047000,361.1550000
HAT-P-53 b,1,1,Transit,2015,471.65972,1.48400,0.800000,0.134000,666.8020000
HAT-P-54 b,1,1,Transit,2015,241.55080,0.76000,1.118000,0.074000,143.6510000
HAT-P-55 b,1,1,Transit,2015,184.97706,0.58200,0.435000,0.139000,511.3880000
HAT-P-56 b,1,1,Transit,2015,734.18730,2.31000,0.750000,0.290000,320.6390000
HAT-P-6 b,1,1,Transit,2007,419.53560,1.32000,0.558000,0.000000,275.3580000
HAT-P-65 b,1,1,Transit,2016,167.49641,0.52700,0.096000,0.304000,738.5190000
HAT-P-66 b,1,1,Transit,2016,248.86089,0.78300,0.242000,0.090000,935.4560000
HAT-P-68 b,1,1,Transit,2020,230.10892,0.72400,0.727000,0.041000,202.1520000
HAT-P-69 b,1,1,Transit,2019,1137.83140,3.58000,1.020000,0.000000,341.2630000
HAT-P-70 b,1,1,Transit,2019,2154.88740,6.78000,1.540000,0.000000,330.7390000
HAT-P-9 b,1,1,Transit,2008,238.05467,0.74900,0.342000,0.084000,455.2030000
HATS-1 b,1,1,Transit,2012,589.55000,1.85500,1.030000,0.120000,283.9710000
HATS-10 b,1,1,Transit,2015,167.17858,0.52600,0.700000,0.501000,534.8890000
HATS-11 b,1,1,Transit,2016,263.79890,0.83000,0.315000,0.340000,944.6030000
HATS-12 b,1,1,Transit,2016,759.61370,2.39000,1.120000,0.085000,746.1380000
HATS-13 b,1,1,Transit,2015,172.58169,0.54300,0.377000,0.181000,421.8550000
HATS-14 b,1,1,Transit,2015,340.39593,1.07100,1.191000,0.142000,513.0110000
HATS-15 b,1,1,Transit,2016,689.69110,2.17000,1.970000,0.126000,1139.5500000
HATS-16 b,1,1,Transit,2016,1039.30410,3.27000,1.860000,0.000000,757.0440000
HATS-17 b,1,1,Transit,2016,425.25654,1.33800,3.500000,0.029000,400.3310000
HATS-18 b,1,1,Transit,2016,629.14449,1.97950,1.116900,0.166000,624.3680000
HATS-2 b,1,1,Transit,2013,427.46300,1.34500,1.050000,0.000000,341.9250000
HATS-22 b,1,1,Transit,2017,870.85420,2.74000,3.890000,0.079000,229.5180000
HATS-23 b,1,1,Transit,2017,467.21010,1.47000,0.290000,0.114000,639.0040000
HATS-24 b,1,1,Transit,2017,718.29580,2.26000,1.030000,0.000000,494.1820000
HATS-25 b,1,1,Transit,2016,194.82979,0.61300,0.380000,0.176000,471.1580000
HATS-26 b,1,1,Transit,2016,206.58950,0.65000,0.153000,0.245000,861.8430000
HATS-27 b,1,1,Transit,2016,168.44990,0.53000,0.180000,0.581000,816.9880000
HATS-28 b,1,1,Transit,2016,213.58176,0.67200,0.480000,0.202000,535.3830000
HATS-29 b,1,1,Transit,2016,207.54299,0.65300,0.411000,0.158000,353.8910000
HATS-3 b,1,1,Transit,2013,340.38200,1.07100,0.510000,0.000000,411.2110000
HATS-31 b,1,1,Transit,2016,279.69040,0.88000,0.243000,0.233000,773.9740000
HATS-32 b,1,1,Transit,2016,292.40360,0.92000,0.580000,0.471000,745.1160000
HATS-33 b,1,1,Transit,2016,378.85336,1.19200,0.790000,0.080000,248.4600000
HATS-34 b,1,1,Transit,2016,299.07803,0.94100,0.400000,0.108000,508.8420000
HATS-35 b,1,1,Transit,2016,388.38826,1.22200,0.484000,0.306000,514.5550000
HATS-36 b,1,1,Transit,2018,1022.14128,3.21600,2.120000,0.105000,856.4360000
HATS-38 b,1,1,Transit,2020,23.51942,0.07400,0.403000,0.000000,343.5250000
HATS-39 b,1,1,Transit,2018,200.23290,0.63000,0.202000,0.275000,878.5210000
HATS-4 b,1,1,Transit,2014,420.47100,1.32300,1.550000,0.013000,416.4590000
